title,title_type,genre,runtime,mpaa_rating,studio,thtr_rel_date,thtr_rel_year,thtr_rel_month,thtr_rel_day,dvd_rel_date,dvd_rel_year,dvd_rel_month,dvd_rel_day,imdb_rating,imdb_num_votes,critics_rating,critics_score,audience_rating,audience_score,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,director
Striking Distance,Feature Film,Mystery & Suspense,102,R,Sony Pictures Home Entertainment,1993-09-17T04:00:00Z,1993,9,17,2001-03-06T05:00:00Z,2001,3,6,5.8,32751,Rotten,14,Spilled,35,no,no,no,no,no,no,Rowdy Herrington
One Night With the King,Feature Film,Drama,123,PG,Gener8Xion Entertainment,2006-10-13T04:00:00Z,2006,10,13,2007-01-30T05:00:00Z,2007,1,30,6.3,5704,Rotten,19,Upright,78,no,no,no,no,no,no,Michael O. Sajbel
Phil Ochs: There But For Fortune,Documentary,Musical & Performing Arts,96,Unrated,First Run Features,2011-01-05T05:00:00Z,2011,1,5,2011-07-19T04:00:00Z,2011,7,19,7.6,318,Fresh,97,Upright,78,no,no,no,no,no,no,Kenneth Bowser
Lethal Weapon 4,Feature Film,Action & Adventure,127,R,Warner Home Video,1998-07-10T04:00:00Z,1998,7,10,2001-06-05T04:00:00Z,2001,6,5,6.6,123989,Rotten,52,Upright,64,no,no,no,no,no,no,Richard Donner
101 Dalmatians,Feature Film,Action & Adventure,103,G,Buena Vista Pictures,1996-11-29T05:00:00Z,1996,11,29,1998-04-21T04:00:00Z,1998,4,21,5.6,70209,Rotten,38,Spilled,40,no,no,no,no,no,yes,Stephen Herek
Bhutto,Documentary,Documentary,111,Unrated,First Run Entertainment,2010-12-03T05:00:00Z,2010,12,3,2011-05-10T04:00:00Z,2011,5,10,7.8,541,Fresh,86,Upright,88,no,no,no,no,no,no,Duane Baughman
Deep Impact,Feature Film,Drama,120,PG-13,Paramount Pictures,1998-05-08T04:00:00Z,1998,5,8,1998-12-15T05:00:00Z,1998,12,15,6.1,132215,Rotten,48,Spilled,43,no,no,yes,no,no,no,Mimi Leder
Shoot 'Em Up,Feature Film,Drama,86,R,New Line Cinema,2007-09-07T04:00:00Z,2007,9,7,2008-01-01T05:00:00Z,2008,1,1,6.7,127458,Fresh,67,Upright,65,no,no,no,no,no,no,Michael Davis
The Room,Feature Film,Drama,99,R,Chloe Productions,2003-06-27T04:00:00Z,2003,6,27,2005-12-17T05:00:00Z,2005,12,17,3.5,27769,Rotten,35,Spilled,46,no,no,no,no,no,no,Tommy Wiseau
Made of Honor,Feature Film,Comedy,101,PG-13,Sony Pictures/Columbia,2008-05-02T04:00:00Z,2008,5,2,2008-09-16T04:00:00Z,2008,9,16,5.8,52635,Rotten,14,Spilled,55,no,no,no,no,no,no,Paul Weiland
The Longest Yard,Feature Film,Drama,121,R,Paramount Home Video,1974-08-30T04:00:00Z,1974,8,30,2001-01-30T05:00:00Z,2001,1,30,7.1,12819,Fresh,81,Upright,75,no,no,no,no,no,no,Robert Aldrich
Dirty Love,Feature Film,Comedy,91,R,First Look,2005-09-23T04:00:00Z,2005,9,23,2005-12-06T05:00:00Z,2005,12,6,3.5,6054,Rotten,4,Upright,67,no,no,no,no,no,no,John Mallory Asher
Berberian Sound Studio,Feature Film,Horror,92,Unrated,IFC Films,2013-06-14T04:00:00Z,2013,6,14,2013-12-10T05:00:00Z,2013,12,10,6.2,9367,Certified Fresh,84,Spilled,54,no,no,no,no,no,no,Peter Strickland
A Good Old Fashioned Orgy,Feature Film,Comedy,95,R,Samuel Goldwyn Films,2011-09-02T04:00:00Z,2011,9,2,2011-12-27T05:00:00Z,2011,12,27,6.2,17798,Rotten,32,Spilled,41,no,no,no,no,no,no,Alex Gregory
May,Feature Film,Drama,93,R,Lionsgate Releasing,2003-06-06T04:00:00Z,2003,6,6,2003-07-15T04:00:00Z,2003,7,15,6.7,26010,Fresh,69,Upright,75,no,no,no,no,no,no,Lucky McKee
Any Day Now,Feature Film,Drama,98,R,Music Box Films,2012-12-14T05:00:00Z,2012,12,14,2013-04-23T04:00:00Z,2013,4,23,7.5,4515,Certified Fresh,79,Upright,76,no,no,no,no,no,no,Travis Fine
Africa: The Serengeti,Documentary,Documentary,39,Unrated,Houston Museum of Natural Scie,1994-04-08T04:00:00Z,1994,4,8,1998-11-18T05:00:00Z,1998,11,18,7.3,535,Fresh,100,Upright,74,no,no,no,no,no,no,George Casey
Grosse Pointe Blank,Feature Film,Drama,107,R,Buena Vista Internationa,1997-04-11T04:00:00Z,1997,4,11,1998-05-19T04:00:00Z,1998,5,19,7.4,71572,Certified Fresh,79,Upright,87,no,no,no,no,no,no,George Armitage
Jack and Jill,Feature Film,Comedy,91,PG,Sony Pictures,2011-11-11T05:00:00Z,2011,11,11,2012-03-06T05:00:00Z,2012,3,6,3.4,57933,Rotten,3,Spilled,37,no,no,yes,no,no,no,Dennis Dugan
Sherman's March,Documentary,Documentary,157,Unrated,First Run Features,1986-09-05T04:00:00Z,1986,9,5,2004-04-06T04:00:00Z,2004,4,6,7.5,1784,Fresh,100,Upright,86,no,no,no,no,no,no,Ross McElwee
"The Ninth Configuration (Twinkle, Twinkle, Killer Kane)",Feature Film,Drama,118,R,Warner Bros.,1980-02-29T05:00:00Z,1980,2,29,2002-09-17T04:00:00Z,2002,9,17,7.2,3883,Fresh,70,Upright,79,no,no,no,no,no,no,William Peter Blatty
Mr. & Mrs. Bridge,Feature Film,Drama,126,PG-13,Miramax Films,1990-11-23T05:00:00Z,1990,11,23,2001-02-13T05:00:00Z,2001,2,13,6.7,2282,Fresh,80,Spilled,42,no,no,yes,yes,no,no,James Ivory
Space Jam,Feature Film,Comedy,88,PG,Warner Home Video,1996-11-15T05:00:00Z,1996,11,15,1997-08-27T04:00:00Z,1997,8,27,6.3,105745,Rotten,36,Upright,63,no,no,no,no,no,no,Joe Pytka
Spring Breakers,Feature Film,Drama,94,R,A24 Films,2013-03-22T04:00:00Z,2013,3,22,2013-07-09T04:00:00Z,2013,7,9,5.3,104457,Fresh,66,Spilled,38,no,no,no,no,no,no,Harmony Korine
Fantastic Four: Rise of the Silver Surfer,Feature Film,Action & Adventure,92,PG,20th Century Fox,2007-06-15T04:00:00Z,2007,6,15,2007-10-02T04:00:00Z,2007,10,2,5.6,205065,Rotten,37,Spilled,51,no,no,no,no,no,no,Tim Story
The Hangover,Feature Film,Comedy,100,R,Warner Bros. Pictures,2009-06-05T04:00:00Z,2009,6,5,2009-12-15T05:00:00Z,2009,12,15,7.8,562136,Certified Fresh,79,Upright,84,no,no,no,no,no,yes,Todd Phillips
The Shaggy D.A.,Feature Film,Comedy,91,G,Walt Disney Productions,1976-12-17T05:00:00Z,1976,12,17,2006-03-07T05:00:00Z,2006,3,7,5.7,1778,Rotten,50,Spilled,44,no,no,no,no,no,no,Robert Stevenson
Orca - The Killer Whale,Feature Film,Drama,92,PG,Paramount Pictures,1977-07-15T04:00:00Z,1977,7,15,2004-09-14T04:00:00Z,2004,9,14,5.6,7628,Rotten,15,Spilled,33,no,no,no,no,no,no,Michael Anderson
Tang shan da xiong (Fists of Fury) (The Big Boss),Feature Film,Drama,100,R,National General Pictures,1972-04-01T05:00:00Z,1972,4,1,2005-12-13T05:00:00Z,2005,12,13,7.1,17934,Fresh,60,Upright,74,no,no,no,no,no,no,Wei Lo
The Story Of Luke,Feature Film,Drama,96,Unrated,Gravitas Ventures,2013-04-05T04:00:00Z,2013,4,5,2013-08-06T04:00:00Z,2013,8,6,7.3,2502,Fresh,80,Upright,78,no,no,no,no,no,no,Alonso Mayo
"New York, New York",Feature Film,Drama,155,PG,MGM Home Entertainment,1977-06-22T04:00:00Z,1977,6,22,2005-02-08T05:00:00Z,2005,2,8,6.7,13092,Fresh,67,Spilled,59,no,no,yes,yes,yes,no,Martin Scorsese
Barbarosa,Feature Film,Other,90,PG,LionsGate Entertainment,1982-02-19T05:00:00Z,1982,2,19,2003-03-18T05:00:00Z,2003,3,18,6.6,1010,Fresh,100,Upright,74,no,no,no,no,no,no,Fred Schepisi
Sinbad and the Eye of the Tiger,Feature Film,Action & Adventure,113,G,Columbia Pictures,1977-01-01T05:00:00Z,1977,1,1,2000-07-11T04:00:00Z,2e3,7,11,6.3,4687,Fresh,63,Spilled,55,no,no,no,no,no,no,Sam Wanamaker
K-19: The Widowmaker,Feature Film,Drama,138,PG-13,Paramount Pictures,2002-07-19T04:00:00Z,2002,7,19,2002-12-10T05:00:00Z,2002,12,10,6.6,48137,Fresh,60,Spilled,52,no,no,no,no,yes,no,Kathryn Bigelow
What's Eating Gilbert Grape,Feature Film,Drama,118,PG-13,Paramount Pictures,1993-12-25T05:00:00Z,1993,12,25,2001-11-17T05:00:00Z,2001,11,17,7.8,164112,Certified Fresh,89,Upright,89,no,no,no,no,no,no,Lasse Hallstrom
Of Mice and Men,Feature Film,Drama,115,PG-13,Metro-Goldwyn-Mayer Pictures,1992-10-02T04:00:00Z,1992,10,2,2001-11-06T05:00:00Z,2001,11,6,7.5,30921,Fresh,96,Upright,82,yes,no,no,no,no,no,Gary Sinise
In the Name of the King: A Dungeon Siege Tale,Feature Film,Action & Adventure,127,PG-13,Freestyle Releasing,2006-11-03T05:00:00Z,2006,11,3,2008-04-15T04:00:00Z,2008,4,15,3.8,37640,Rotten,4,Spilled,22,no,no,no,no,no,no,Uwe Boll
Hairspray,Feature Film,Musical & Performing Arts,117,PG,New Line Cinema,2007-07-20T04:00:00Z,2007,7,20,2007-11-20T05:00:00Z,2007,11,20,6.8,95327,Certified Fresh,91,Upright,85,no,no,no,no,no,no,Adam Shankman
Godzilla,Feature Film,Mystery & Suspense,123,PG-13,Warner Bros Pictures,2014-05-16T04:00:00Z,2014,5,16,2014-09-16T04:00:00Z,2014,9,16,6.5,289825,Certified Fresh,74,Upright,66,no,no,no,no,no,no,Gareth Edwards
The Freshman,Feature Film,Drama,102,PG,Sony Pictures Home Entertainment,1990-07-20T04:00:00Z,1990,7,20,1998-06-30T04:00:00Z,1998,6,30,6.5,15525,Certified Fresh,93,Upright,61,no,no,yes,no,no,no,Andrew Bergman
The Legend of Hercules,Feature Film,Action & Adventure,99,PG-13,Lionsgate Films,2014-01-10T05:00:00Z,2014,1,10,2014-04-29T04:00:00Z,2014,4,29,4.2,43268,Rotten,3,Spilled,33,no,no,no,no,no,no,Renny Harlin
North Sea Hijack (ffolkes) (Assault Force),Feature Film,Action & Adventure,100,PG,Cinema Seven Productions Ltd,1980-04-18T05:00:00Z,1980,4,18,2003-08-12T04:00:00Z,2003,8,12,6.3,3153,Rotten,33,Spilled,43,no,no,no,no,no,no,Andrew V. McLaglen
Texasville,Feature Film,Drama,123,R,Cine-Source,1991-01-01T05:00:00Z,1991,1,1,2002-09-17T04:00:00Z,2002,9,17,6,1887,Rotten,55,Spilled,50,no,no,yes,no,no,no,Peter Bogdanovich
My Baby's Daddy,Feature Film,Comedy,86,PG-13,Miramax Films,2004-01-09T05:00:00Z,2004,1,9,2004-06-01T04:00:00Z,2004,6,1,4.5,3096,Rotten,4,Spilled,49,no,no,no,no,no,no,Cheryl Dunye
Clerks II,Feature Film,Drama,97,R,MGM,2006-07-21T04:00:00Z,2006,7,21,2006-11-28T05:00:00Z,2006,11,28,7.4,112216,Fresh,63,Upright,84,no,no,no,no,no,no,Kevin Smith
White House Down,Feature Film,Drama,131,PG-13,Sony Pictures,2013-06-28T04:00:00Z,2013,6,28,2013-11-05T05:00:00Z,2013,11,5,6.4,154674,Rotten,51,Upright,62,no,no,yes,no,no,no,Roland Emmerich
Flesh & Blood (Flesh+Blood) (The Rose and the Sword),Feature Film,Drama,126,R,MGM,1985-08-30T04:00:00Z,1985,8,30,2004-02-03T05:00:00Z,2004,2,3,6.7,12535,Fresh,79,Upright,63,no,no,no,no,no,no,Paul Verhoeven
Bastard out of Carolina,Feature Film,Drama,97,R,Winstar,1996-12-15T05:00:00Z,1996,12,15,2000-04-25T04:00:00Z,2e3,4,25,7.4,3363,Fresh,100,Upright,83,no,no,no,no,no,no,Anjelica Huston
Red Dawn,Feature Film,Action & Adventure,114,PG-13,MGM/UA,1984-08-10T04:00:00Z,1984,8,10,2001-05-15T04:00:00Z,2001,5,15,6.3,40659,Rotten,53,Upright,65,no,no,no,no,no,no,John Milius
Rescue Dawn,Feature Film,Drama,120,PG-13,MGM,2007-07-27T04:00:00Z,2007,7,27,2007-11-20T05:00:00Z,2007,11,20,7.4,82378,Certified Fresh,91,Upright,74,no,no,no,no,no,no,Werner Herzog
The Longshots,Feature Film,Drama,94,PG,The Weinstein Company,2008-08-22T04:00:00Z,2008,8,22,2008-12-02T05:00:00Z,2008,12,2,5.1,3135,Rotten,41,Upright,61,no,no,no,no,no,no,Fred Durst
Blind Spot: Hitler's Secretary,Documentary,Documentary,90,PG,Sony Pictures Classics,2002-10-10T04:00:00Z,2002,10,10,2003-10-28T05:00:00Z,2003,10,28,7.3,1489,Certified Fresh,85,Upright,70,no,no,no,no,no,no,Andre Heller
U-Turn,Feature Film,Drama,125,R,Sony Pictures Home Entertainment,1997-10-03T04:00:00Z,1997,10,3,1998-03-31T05:00:00Z,1998,3,31,6.8,41385,Rotten,59,Upright,62,no,no,yes,no,yes,no,Oliver Stone
Something's Gotta Give,Feature Film,Comedy,128,PG-13,Sony Pictures,2003-12-12T05:00:00Z,2003,12,12,2004-03-30T05:00:00Z,2004,3,30,6.7,88523,Fresh,71,Upright,69,no,no,yes,yes,no,no,Nancy Meyers
A Boy and His Dog,Feature Film,Drama,91,R,eRealBiz,1975-03-01T04:00:00Z,1975,3,1,2003-11-18T05:00:00Z,2003,11,18,6.6,12221,Fresh,75,Upright,63,no,no,no,no,no,no,L.Q. Jones
Terror Train,Feature Film,Horror,97,R,20th Century Fox Film Corporation,1980-01-01T05:00:00Z,1980,1,1,2004-09-07T04:00:00Z,2004,9,7,5.9,6304,Rotten,36,Spilled,39,no,no,no,no,no,no,Roger Spottiswoode
Leatherface: The Texas Chainsaw Massacre III,Feature Film,Horror,85,R,Sony Pictures Home Entertainment,1990-01-12T05:00:00Z,1990,1,12,2003-10-07T04:00:00Z,2003,10,7,5.1,9565,Rotten,19,Spilled,32,no,no,no,no,no,no,Jeff Burr
Lorenzo's Oil,Feature Film,Drama,129,PG-13,MCA Universal Home Video,1992-12-30T05:00:00Z,1992,12,30,2004-04-06T04:00:00Z,2004,4,6,7.2,15913,Fresh,94,Upright,79,no,no,no,yes,no,no,NA
Groundhog Day,Feature Film,Other,101,PG,Columbia Pictures,1993-02-12T05:00:00Z,1993,2,12,2002-01-29T05:00:00Z,2002,1,29,8.1,414687,Certified Fresh,96,Upright,87,no,no,no,no,no,no,Harold Ramis
Conviction,Feature Film,Drama,107,R,Fox Searchlight,2010-10-15T04:00:00Z,2010,10,15,2011-02-01T05:00:00Z,2011,2,1,7.2,33720,Fresh,67,Upright,70,no,no,no,no,no,no,Tony Goldwyn
Kicking It,Documentary,Documentary,98,Unrated,Liberation Entertainment,2008-06-13T04:00:00Z,2008,6,13,2008-09-09T04:00:00Z,2008,9,9,7.4,325,Rotten,53,Upright,71,no,no,no,no,no,no,Jeff Werner
Vampire Hunter D: Bloodlust,Feature Film,Action & Adventure,103,R,Urban Vision Entertainment,2001-09-21T04:00:00Z,2001,9,21,2002-02-12T05:00:00Z,2002,2,12,7.8,22245,Fresh,72,Upright,86,no,no,no,no,no,no,Yoshiaki Kawajiri
Bounce,Feature Film,Drama,106,PG-13,Miramax Films,2000-11-17T05:00:00Z,2e3,11,17,2001-04-10T04:00:00Z,2001,4,10,5.7,17133,Rotten,52,Spilled,33,no,no,no,yes,no,no,Don Roos
A Mighty Heart,Feature Film,Drama,108,R,Paramount Vantage,2007-06-22T04:00:00Z,2007,6,22,2007-10-16T04:00:00Z,2007,10,16,6.7,23821,Certified Fresh,79,Upright,70,no,no,no,no,no,no,Michael Winterbottom
Santa Sangre,Feature Film,Drama,123,R,Republic Pictures Home Video,1990-06-01T04:00:00Z,1990,6,1,1991-03-28T05:00:00Z,1991,3,28,7.7,13285,Fresh,85,Upright,87,no,no,no,no,no,no,Alejandro Jodorowsky
Resident Evil,Feature Film,Action & Adventure,100,R,Columbia Tristar Pictures,2002-03-15T05:00:00Z,2002,3,15,2002-07-30T04:00:00Z,2002,7,30,6.7,192052,Rotten,33,Upright,68,no,no,no,no,no,no,Paul W.S. Anderson
Top Gun,Feature Film,Drama,110,PG,Paramount Pictures,1986-05-16T04:00:00Z,1986,5,16,1998-10-20T04:00:00Z,1998,10,20,6.9,211129,Rotten,54,Upright,83,no,no,no,no,no,yes,Tony Scott
25th Hour,Feature Film,Drama,135,R,Touchstone Pictures,2003-01-10T05:00:00Z,2003,1,10,2003-05-20T04:00:00Z,2003,5,20,7.7,146518,Certified Fresh,78,Upright,85,no,no,yes,no,no,no,Spike Lee
The Bad News Bears in Breaking Training,Feature Film,Comedy,100,PG,Paramount Pictures,1977-07-08T04:00:00Z,1977,7,8,2002-02-12T05:00:00Z,2002,2,12,5.4,2239,Rotten,50,Spilled,39,no,no,no,no,no,no,Michael Pressman
Streets of Gold,Feature Film,Drama,95,R,Live Home Video,1986-11-14T05:00:00Z,1986,11,14,NA,NA,NA,NA,6,486,Rotten,31,Spilled,44,no,no,no,no,no,no,Joe Roth
The Mod Squad,Feature Film,Drama,92,R,MGM,1999-03-26T05:00:00Z,1999,3,26,1999-08-24T04:00:00Z,1999,8,24,4.1,7658,Rotten,4,Spilled,17,no,no,no,no,no,no,Scott Silver
Where the Heart Is,Feature Film,Drama,107,R,Touchstone Pictures,1990-01-01T05:00:00Z,1990,1,1,2003-06-03T04:00:00Z,2003,6,3,6.1,1268,Rotten,11,Spilled,58,no,no,no,no,no,no,John Boorman
Battlefield Earth,Feature Film,Action & Adventure,118,PG-13,Warner Bros. Pictures,2000-05-12T04:00:00Z,2e3,5,12,2001-01-16T05:00:00Z,2001,1,16,2.4,64119,Rotten,3,Spilled,11,no,no,yes,no,no,no,Roger Christian
Osmosis Jones,Feature Film,Comedy,95,PG,Warner Bros. Pictures,2001-08-10T04:00:00Z,2001,8,10,2001-11-13T05:00:00Z,2001,11,13,6.2,24678,Rotten,55,Spilled,41,no,no,no,no,no,no,Bill Murray
Never Cry Wolf,Feature Film,Drama,105,PG,Disney,1983-01-01T05:00:00Z,1983,1,1,2000-02-22T05:00:00Z,2e3,2,22,7.6,6114,Fresh,100,Upright,85,no,no,no,no,no,no,Carroll Ballard
A Good Woman,Feature Film,Drama,93,PG,Lions Gate Films,2006-02-03T05:00:00Z,2006,2,3,2006-06-13T04:00:00Z,2006,6,13,6.5,9399,Rotten,37,Spilled,49,no,no,no,yes,no,no,Mike Barker
Drive,Feature Film,Drama,100,R,FilmDistrict,2011-09-16T04:00:00Z,2011,9,16,2012-01-31T05:00:00Z,2012,1,31,7.8,414650,Certified Fresh,92,Upright,79,no,no,no,no,no,no,Nicolas Winding Refn
2 Days in the Valley,Feature Film,Drama,104,R,HBO Video,1996-09-27T04:00:00Z,1996,9,27,2001-08-07T04:00:00Z,2001,8,7,6.5,15291,Fresh,60,Spilled,54,no,no,no,yes,no,no,John Herzfeld
Married to It,Feature Film,Drama,112,R,Orion Home Video,1993-03-26T05:00:00Z,1993,3,26,2003-04-01T05:00:00Z,2003,4,1,5.9,725,Rotten,33,Spilled,41,no,no,no,no,no,no,Arthur Hiller
Pay It Forward,Feature Film,Drama,123,PG-13,Warner Bros. Pictures,2000-10-20T04:00:00Z,2e3,10,20,2001-05-15T04:00:00Z,2001,5,15,7.1,93331,Rotten,40,Upright,77,no,no,yes,yes,no,no,Mimi Leder
Topsy-Turvy,Feature Film,Drama,154,R,October Films,1999-12-17T05:00:00Z,1999,12,17,2000-06-20T04:00:00Z,2e3,6,20,7.4,9876,Certified Fresh,89,Upright,79,no,no,no,no,no,no,Mike Leigh
Beyond the Gates,Feature Film,Drama,115,R,IFC First Take,2005-12-08T05:00:00Z,2005,12,8,2007-09-18T04:00:00Z,2007,9,18,7.7,9525,Certified Fresh,84,Upright,85,no,no,no,no,no,no,Michael Caton-Jones
Top Secret!,Feature Film,Comedy,90,PG,Paramount Home Video,1984-06-08T04:00:00Z,1984,6,8,2002-07-16T04:00:00Z,2002,7,16,7.2,44741,Fresh,76,Upright,80,no,no,no,no,no,no,David Zucker
Gaza Strip,Documentary,Documentary,74,Unrated,Arab Film Distribution,2002-01-01T05:00:00Z,2002,1,1,2003-05-06T04:00:00Z,2003,5,6,7.3,285,Fresh,78,Upright,89,no,no,no,no,no,no,James Longley
Night and the City,Feature Film,Drama,105,R,Twentieth Century Fox Home Entertainment,1992-10-11T04:00:00Z,1992,10,11,1993-04-21T04:00:00Z,1993,4,21,5.8,3673,Fresh,67,Spilled,31,no,no,yes,yes,no,no,Irwin Winkler
Lockout (Unrated),Feature Film,Action & Adventure,95,PG-13,FilmDistrict,2012-04-13T04:00:00Z,2012,4,13,2012-07-17T04:00:00Z,2012,7,17,6.1,79970,Rotten,38,Spilled,46,no,no,no,no,no,no,Stephen St. Leger
Orwell Rolls in His Grave,Documentary,Documentary,84,Unrated,Sag Harbor-Basement Pictures,2003-10-23T04:00:00Z,2003,10,23,2005-06-07T04:00:00Z,2005,6,7,8.1,1058,Fresh,79,Upright,92,no,no,no,no,no,no,Robert Kane Pappas
Sunshine Cleaning,Feature Film,Comedy,91,R,Overture Films,2009-03-13T04:00:00Z,2009,3,13,2009-08-25T04:00:00Z,2009,8,25,6.9,60220,Certified Fresh,72,Upright,62,no,no,no,no,no,no,Christine Jeffs
The Stupids,Feature Film,Comedy,94,PG,New Line Home Entertainment,1996-09-06T04:00:00Z,1996,9,6,2004-02-10T05:00:00Z,2004,2,10,4.1,5591,Rotten,21,Spilled,36,no,no,no,no,no,no,John Landis
Better This World,Documentary,Documentary,82,Unrated,Independent Pictures,2011-09-16T04:00:00Z,2011,9,16,2012-07-24T04:00:00Z,2012,7,24,7.3,340,Fresh,100,Upright,80,no,no,no,no,no,no,Kelly Duane
Wimbledon,Feature Film,Drama,98,PG-13,Universal Pictures,2004-09-17T04:00:00Z,2004,9,17,2004-12-28T05:00:00Z,2004,12,28,6.3,50340,Fresh,60,Spilled,57,no,no,no,no,no,no,Richard Loncraine
B. Monkey,Feature Film,Drama,92,R,Miramax,1999-09-10T04:00:00Z,1999,9,10,2000-03-21T05:00:00Z,2e3,3,21,6,2934,Fresh,61,Spilled,55,no,no,no,no,no,no,Michael Radford
Caveman,Feature Film,Action & Adventure,91,PG,NA,1981-04-17T05:00:00Z,1981,4,17,2002-06-04T04:00:00Z,2002,6,4,5.7,5564,Rotten,24,Spilled,55,no,no,no,no,no,no,Carl Gottlieb
V for Vendetta,Feature Film,Drama,132,R,Warner Bros. Pictures,2006-03-17T05:00:00Z,2006,3,17,2006-08-01T04:00:00Z,2006,8,1,8.2,753592,Certified Fresh,73,Upright,90,no,no,no,yes,no,no,James McTeigue
One on One,Feature Film,Drama,98,PG,Warner Bros.,1977-06-28T04:00:00Z,1977,6,28,2009-03-23T04:00:00Z,2009,3,23,6.4,1141,Fresh,83,Upright,75,no,no,no,no,no,no,Lamont Johnson
Flesh And Bone,Feature Film,Drama,126,R,Paramount Home Video,1993-11-05T05:00:00Z,1993,11,5,2002-04-16T04:00:00Z,2002,4,16,6.2,3967,Fresh,67,Spilled,40,no,no,no,yes,no,no,Steve Kloves
Mission: Impossible,Feature Film,Mystery & Suspense,110,PG-13,Paramount Pictures,1996-05-22T04:00:00Z,1996,5,22,1998-01-17T05:00:00Z,1998,1,17,7.1,287476,Fresh,63,Upright,71,no,no,yes,no,no,yes,Brian DePalma
A Time to Kill,Feature Film,Mystery & Suspense,149,R,Warner Home Video,1996-07-24T04:00:00Z,1996,7,24,1997-08-22T04:00:00Z,1997,8,22,7.4,94983,Fresh,67,Upright,86,no,no,yes,yes,no,no,Joel Schumacher
The Color of Money,Feature Film,Other,119,R,Touchstone Pictures,1986-10-08T04:00:00Z,1986,10,8,2001-03-06T05:00:00Z,2001,3,6,7,56185,Fresh,90,Upright,73,no,no,yes,no,yes,no,Martin Scorsese
Knightriders,Feature Film,Drama,146,R,Laurel Entertainment,1981-01-01T05:00:00Z,1981,1,1,2000-07-11T04:00:00Z,2e3,7,11,6.4,3138,Fresh,82,Upright,61,no,no,no,no,no,no,George A. Romero
The Company You Keep,Feature Film,Mystery & Suspense,125,R,Sony Pictures Classics,2013-04-05T04:00:00Z,2013,4,5,2013-08-13T04:00:00Z,2013,8,13,6.4,25264,Rotten,55,Spilled,45,no,no,no,yes,yes,no,Robert Redford
Madea Goes to Jail,Feature Film,Drama,103,PG-13,Lionsgate,2009-02-20T05:00:00Z,2009,2,20,2009-06-16T04:00:00Z,2009,6,16,4.1,9424,Rotten,29,Upright,70,no,no,no,no,no,no,Tyler Perry
Every Which Way But Loose,Feature Film,Action & Adventure,114,PG,Warner Bros. Pictures,1978-12-20T05:00:00Z,1978,12,20,2002-05-07T04:00:00Z,2002,5,7,6.2,16681,Rotten,31,Spilled,56,no,no,no,no,no,no,James Fargo
Strictly Business,Feature Film,Drama,83,PG-13,Warner Home Video,1991-11-08T05:00:00Z,1991,11,8,2007-09-18T04:00:00Z,2007,9,18,5.3,1308,Rotten,10,Spilled,56,no,no,no,no,no,no,Rolando Hudson
Once,Feature Film,Musical & Performing Arts,85,R,Fox Searchlight,2007-05-18T04:00:00Z,2007,5,18,2007-12-18T05:00:00Z,2007,12,18,7.9,87215,Certified Fresh,97,Upright,91,no,no,no,no,no,no,John Carney (V)
Beverly Hills Cop,Feature Film,Action & Adventure,105,R,Paramount Pictures,1984-12-01T05:00:00Z,1984,12,1,2002-01-29T05:00:00Z,2002,1,29,7.3,121245,Certified Fresh,83,Upright,81,no,no,no,no,no,yes,Martin Brest
The Raven,Feature Film,Mystery & Suspense,110,R,Relativity Media,2012-04-27T04:00:00Z,2012,4,27,2012-10-09T04:00:00Z,2012,10,9,6.4,71112,Rotten,22,Spilled,46,no,no,no,no,no,no,James McTeigue
Nick and Norah's Infinite Playlist,Feature Film,Comedy,90,PG-13,Sony Pictures/Screen Gems,2008-10-03T04:00:00Z,2008,10,3,2009-02-03T05:00:00Z,2009,2,3,6.7,72295,Fresh,74,Upright,65,no,no,no,no,no,no,Peter Sollett
Attack of the 50 Foot Woman,TV Movie,Other,90,R,NA,1993-12-11T05:00:00Z,1993,12,11,2002-04-02T05:00:00Z,2002,4,2,3.8,2289,Rotten,22,Spilled,21,no,no,no,no,no,no,Christopher Guest
The Sum of All Fears,Feature Film,Drama,124,PG-13,Paramount Pictures,2002-05-31T04:00:00Z,2002,5,31,2002-10-29T05:00:00Z,2002,10,29,6.4,84191,Rotten,59,Spilled,49,no,no,no,no,no,no,Phil Alden Robinson
The Interview,Feature Film,Comedy,112,R,Sony Pictures,2014-12-25T05:00:00Z,2014,12,25,2015-02-17T05:00:00Z,2015,2,17,6.6,235529,Rotten,51,Spilled,48,no,no,no,no,no,no,Seth Rogen
Let the Right One In,Feature Film,Drama,115,R,Magnet/Magnolia Pictures,2008-01-26T05:00:00Z,2008,1,26,2009-03-10T04:00:00Z,2009,3,10,8,168032,Certified Fresh,98,Upright,90,no,no,no,no,no,no,Tomas Alfredson
Volcano,Feature Film,Drama,104,PG-13,Twentieth Century Fox Home Entertainment,1997-04-25T04:00:00Z,1997,4,25,2001-12-18T05:00:00Z,2001,12,18,5.4,56329,Rotten,44,Spilled,31,no,no,no,no,no,no,Mick Jackson
Nostalgia for the Light,Documentary,Documentary,90,Unrated,Icarus Films,2011-03-18T04:00:00Z,2011,3,18,2011-09-13T04:00:00Z,2011,9,13,7.6,2849,Certified Fresh,100,Upright,84,no,no,no,no,no,no,Patricio Guzman
